style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
"Pop - Modern Clean","uplifting, catchy","100-120","synths, clean electric guitar, punchy drums, sub bass","bright pop, doubled hooks","Dua Lipa; The Weeknd; Ariana Grande; Taylor Swift","tight sidechain compression, glossy top end, short plate reverb","2010s-2020s","Modern pop with a catchy chorus, glossy synths, tight drums, and a clean, radio-ready mix. Keep the hook memorable and the groove danceable."
"Hip-Hop - Trap Modern","dark, energetic","130-150","808 subs, crisp hats, plucks, pads","melodic-rap, autotune optional","Travis Scott; Future; Lil Uzi Vert; Playboi Carti","wide 808s, transient shaping on kicks, big stereo hats","2010s-2020s","Modern trap with deep 808s, crisp hi-hats, and moody plucks. Spacious atmosphere and hard drops."
"R&B - Contemporary","sensual, smooth","85-105","silky pads, Rhodes, slick drums","melismatic R&B","SZA; Brent Faiyaz; Frank Ocean; Daniel Caesar","lush reverb tails, soft saturation on vocals","2010s-2020s","Contemporary R&B with silky pads, smooth bass, and intimate vocals. Focus on groove and space."
"EDM - Future Bass","euphoric, bright","140-160","supersaw chords, vocal chops, sub bass","chopped/processed","Flume; Illenium; ODESZA; San Holo","sidechain pump, wide supersaws, bright top end","2010s-2020s","Future bass with lush supersaws, vocal chop hooks, and euphoric drops. Powerful sidechain pump and sparkling highs."
"Pop - 80s Retro","nostalgic, energetic","110-125","analog synths, gated snares, chorus guitars","light male/female pop","A-ha; Whitney Houston; Tears for Fears; Cyndi Lauper","gated reverb on snares, Juno pads, chorus on guitars","1980s","80s-inspired synthpop with gated snares, analog pads, and chorus-soaked guitars. Big melodic hooks and a nostalgic vibe."
"Rock - Classic","anthemic, bold","110-140","crunch guitars, live drums, bass","power rock","AC/DC; The Rolling Stones; Led Zeppelin; Queen","amp room mics, tape compression on bus","1960s-1980s","Classic rock with crunchy guitars, solid drums, and sing-along choruses. Keep it raw and energetic."
"Hip-Hop - Boom Bap","confident, gritty","85-95","sampled pianos, vinyl drums, upright bass","spoken-rap, ad-libs","Nas; J Dilla; Wu-Tang Clan; A Tribe Called Quest","vinyl crackle, swing quantization, tight mono kick","1980s-1990s","Classic boom bap with dusty drums, chopped samples, and hard-hitting kicks. Laid-back flow and head-nod groove."
"EDM - House Deep","driving, hypnotic","118-124","piano stabs, deep bass, 4-on-the-floor","minimal vocal lines","Disclosure; Duke Dumont; MK; CamelPhat","tight low-end mono, airy hats, subtle filter sweeps","2010s-2020s","Deep house with groovy basslines, piano stabs, and a steady 4-on-the-floor beat. Keep it hypnotic and clean."
"Pop - Bedroom Indie","intimate, bittersweet","85-105","lo-fi guitars, drum machine, soft pads","soft breathy","Clairo; Rex Orange County; Mac DeMarco; Boy Pablo","tape saturation, gentle stereo width, light room reverb","2010s-2020s","Indie pop with intimate vocals, lo-fi drums, and warm guitars. Keep it minimal and tender with subtle tape saturation."
"Country - Modern","optimistic, storytelling","95-115","acoustic/electric blend, fiddle/banjo optional","clear twang","Luke Combs; Kacey Musgraves; Chris Stapleton; Miranda Lambert","bright acoustics, tight low-end, plate reverb on vocal","2010s-2020s","Modern country with storytelling lyrics, clean guitars, and steady drums. Bright and radio-ready."
"Hip-Hop - Lo-fi Chill","relaxed, cozy","70-90","warm keys, vinyl drums, soft bass","mumbled or chopped","Nujabes; Idealism; Jinsang; Tomppabeats","lowpassed highs, vinyl hiss, gentle sidechain","2000s-2020s","Lo-fi hip-hop with warm pianos, soft drums, and cozy textures. Keep it chilled and melodic with subtle vinyl noise."
"EDM - Techno Melodic","dark, cinematic","120-130","analog leads, arps, heavy kick","spoken phrases minimal","ARTBAT; Tale Of Us; Stephan Bodzin; Adriatique","long reverbs, filtered build-ups, wide stereo pads","2010s-2020s","Melodic techno with evolving arps, heavy kicks, and cinematic pads. Build tension with filters and long reverbs."
"R&B - 90s Throwback","romantic, nostalgic","85-100","Rhodes, slap bass, snappy snares","soulful runs","Boyz II Men; Aaliyah; TLC; Usher","tight rooms on drums, light chorus on keys","1990s","90s R&B with soulful vocals, Rhodes keys, and punchy snares. Warm and romantic throwback vibe."
"Rock - Indie Alternative","driving, emotional","100-135","jangly guitars, live bass, roomy drums","casual indie","Arctic Monkeys; The Strokes; Franz Ferdinand; Interpol","roomy drum sound, light saturation, slapback delays","2000s-2010s","Indie rock with jangly guitars, punchy drums, and catchy riffs. Slightly gritty and energetic."
"Folk - Acoustic","warm, heartfelt","70-110","acoustic guitar, light percussion, upright bass","soft folk","Bon Iver; Iron & Wine; Fleet Foxes; Sufjan Stevens","close miking, natural room, gentle compression","2000s-2020s","Acoustic folk with warm guitars, intimate vocals, and organic textures. Keep it human and heartfelt."
"Latin - Reggaeton","sensual, club","85-100","dem bow drums, plucks, sub bass","Spanish/Spanglish melodic","Bad Bunny; J Balvin; Maluma; Ozuna","wide claps, saturated bass, short room on vox","2010s-2020s","Reggaeton with dem bow rhythm, moody plucks, and club-ready low end. Smooth, catchy vocal lines."
"K-Pop - Energetic","glossy, high-impact","120-150","hybrid EDM/trap, big synths, stabs","group leads, layered","BLACKPINK; BTS; TWICE; ITZY","snappy edits, layered hooks, wide stereo effects","2010s-2020s","K-pop with high-energy drops, glossy synths, and layered hooks. Dynamic sections and polished sound."
"Rock - Pop Punk","rebellious, high-energy","150-180","distorted guitars, fast drums, bass","nasal punk-pop","Blink-182; Paramore; Green Day; Sum 41","tight editing, stacked gang vocals, bright cymbals","1990s-2000s","Pop-punk with fast drums, chunky guitars, and catchy, rebellious hooks. Energetic and tight."
"Soul - Neo Soul","sultry, groovy","80-100","Rhodes, jazz chords, laid-back drums","soulful warm","Erykah Badu; D'Angelo; Lauryn Hill; Maxwell","swing feel, warm tape saturation, smooth bus glue","1990s-2000s","Neo-soul with lush Rhodes, laid-back drums, and warm, expressive vocals. Groovy and intimate."
"Afrobeats - Modern","sunny, rhythmic","95-110","syncopated drums, marimbas, plucks","melodic uplift","Burna Boy; Wizkid; Davido; Tiwa Savage","swing groove, percussion layers, warm bus glue","2010s-2020s","Modern Afrobeats with syncopated percussion, bright plucks, and uplifting melodies. Danceable and warm."
