style,mood,tempo_bpm,instrumentation,vocal_style,sample_artists,production_notes,decade_range,prompt
Pop - Modern Clean,"uplifting, catchy",100-120,"synths, clean electric guitar, punchy drums, sub bass","bright pop, doubled hooks",Dua Lipa; The Weeknd; Ariana Grande; Taylor Swift,"tight sidechain compression, glossy top end, short plate reverb",2010s-2020s,"Modern pop with catchy vocal hooks, glossy synth layers, punchy 808s, sidechain compression, clean electric guitar riffs, bright vocal doubles, tight drum programming, sub bass drops, polished radio-ready production, anthemic chorus sections"
Hip-Hop - Trap Modern,"dark, energetic",130-150,"808 subs, crisp hats, plucks, pads","melodic-rap, autotune optional",Travis Scott; Future; Lil Uzi Vert; Playboi Carti,"wide 808s, transient shaping on kicks, big stereo hats",2010s-2020s,"Modern trap with heavy 808 bass slides, crisp hi-hat rolls, dark atmospheric pads, moody synth plucks, hard-hitting kicks, spacious reverb, melodic rap flow, autotune vocal effects, transient-shaped drums, wide stereo width"
R&B - Contemporary,"sensual, smooth",85-105,"silky pads, Rhodes, slick drums",melismatic R&B,SZA; Brent Faiyaz; Frank Ocean; Daniel Caesar,"lush reverb tails, soft saturation on vocals",2010s-2020s,"Contemporary R&B with silky vocal layers, melismatic runs, Rhodes electric piano, lush pad textures, smooth sub bass, intimate vocal delivery, gentle drum shuffle, warm analog saturation, spacious reverb tails, sultry atmosphere"
EDM - Future Bass,"euphoric, bright",140-160,"supersaw chords, vocal chops, sub bass",chopped/processed,Flume; Illenium; ODESZA; San Holo,"sidechain pump, wide supersaws, bright top end",2010s-2020s,"Future bass with supersaw chord stacks, vocal chop rhythms, euphoric chord progressions, sidechain pump groove, bright synth leads, sub bass drops, wide stereo supersaws, uplifting melodies, energetic build-ups, sparkling high frequencies"
Pop - 80s Retro,"nostalgic, energetic",110-125,"analog synths, gated snares, chorus guitars",light male/female pop,A-ha; Whitney Houston; Tears for Fears; Cyndi Lauper,"gated reverb on snares, Juno pads, chorus on guitars",1980s,"80s synthpop with analog synthesizer pads, gated reverb snares, chorus-soaked guitars, vintage drum machines, Juno-style strings, nostalgic melodies, bright vocal harmonies, retro arpeggios, energetic tempo, classic production aesthetic"
Rock - Classic,"anthemic, bold",110-140,"crunch guitars, live drums, bass",power rock,AC/DC; The Rolling Stones; Led Zeppelin; Queen,"amp room mics, tape compression on bus",1960s-1980s,"Classic rock with crunchy overdriven guitars, powerful drum fills, solid bass foundation, anthemic sing-along choruses, raw vocal delivery, tape saturation warmth, room microphone ambiance, guitar solo sections, energetic performance, stadium-ready sound"
Hip-Hop - Boom Bap,"confident, gritty",85-95,"sampled pianos, vinyl drums, upright bass","spoken-rap, ad-libs",Nas; J Dilla; Wu-Tang Clan; A Tribe Called Quest,"vinyl crackle, swing quantization, tight mono kick",1980s-1990s,"Boom bap hip-hop with dusty vinyl samples, hard-hitting kick drums, crispy snare punches, chopped piano loops, vinyl crackle texture, swing quantization groove, upright bass lines, confident rap delivery, ad-lib flourishes, golden era aesthetic"
EDM - House Deep,"driving, hypnotic",118-124,"piano stabs, deep bass, 4-on-the-floor",minimal vocal lines,Disclosure; Duke Dumont; MK; CamelPhat,"tight low-end mono, airy hats, subtle filter sweeps",2010s-2020s,"Deep house with groovy rolling basslines, piano chord stabs, hypnotic 4-on-the-floor kick, airy hi-hat patterns, minimal vocal hooks, filter sweep builds, tight low-end mono, subtle percussion layers, warm pad atmospheres, driving club energy"
Pop - Bedroom Indie,"intimate, bittersweet",85-105,"lo-fi guitars, drum machine, soft pads",soft breathy,Clairo; Rex Orange County; Mac DeMarco; Boy Pablo,"tape saturation, gentle stereo width, light room reverb",2010s-2020s,"Bedroom indie pop with lo-fi guitar textures, intimate breathy vocals, drum machine patterns, soft synth pads, tape saturation warmth, gentle stereo width, minimal production aesthetic, bittersweet melodies, light room reverb, tender emotional delivery"
Country - Modern,"optimistic, storytelling",95-115,"acoustic/electric blend, fiddle/banjo optional",clear twang,Luke Combs; Kacey Musgraves; Chris Stapleton; Miranda Lambert,"bright acoustics, tight low-end, plate reverb on vocal",2010s-2020s,"Modern country with storytelling lyrics, bright acoustic strumming, clean electric guitar leads, tight low-end mix, fiddle accents, steady drum groove, clear vocal twang, plate reverb treatment, radio-ready polish, optimistic melodies, contemporary production"
Hip-Hop - Lo-fi Chill,"relaxed, cozy",70-90,"warm keys, vinyl drums, soft bass",mumbled or chopped,Nujabes; Idealism; Jinsang; Tomppabeats,"lowpassed highs, vinyl hiss, gentle sidechain",2000s-2020s,"Lo-fi hip-hop with warm jazz piano chords, soft vinyl drum loops, cozy bass tones, lowpass filtered highs, vinyl hiss texture, gentle sidechain ducking, relaxed tempo, chopped vocal samples, melodic atmosphere, study-friendly vibes"
EDM - Techno Melodic,"dark, cinematic",120-130,"analog leads, arps, heavy kick",spoken phrases minimal,ARTBAT; Tale Of Us; Stephan Bodzin; Adriatique,"long reverbs, filtered build-ups, wide stereo pads",2010s-2020s,"Melodic techno with evolving arpeggiator sequences, heavy four-on-floor kick, analog synth leads, cinematic pad layers, dark atmospheric mood, long reverb tails, filtered build-up sections, wide stereo imaging, hypnotic groove patterns, underground club energy"
R&B - 90s Throwback,"romantic, nostalgic",85-100,"Rhodes, slap bass, snappy snares",soulful runs,Boyz II Men; Aaliyah; TLC; Usher,"tight rooms on drums, light chorus on keys",1990s,"90s R&B with soulful vocal runs, Rhodes electric piano, slap bass grooves, snappy snare hits, romantic melodies, warm room ambiance, light chorus effects, nostalgic production, tight drum programming, smooth harmonies, classic throwback vibe"
Rock - Indie Alternative,"driving, emotional",100-135,"jangly guitars, live bass, roomy drums",casual indie,Arctic Monkeys; The Strokes; Franz Ferdinand; Interpol,"roomy drum sound, light saturation, slapback delays",2000s-2010s,"Indie alternative rock with jangly guitar tones, driving bass lines, roomy drum sound, casual vocal delivery, catchy guitar riffs, light saturation grit, slapback delay effects, energetic tempo, lo-fi aesthetic, authentic garage band feel"
Folk - Acoustic,"warm, heartfelt",70-110,"acoustic guitar, light percussion, upright bass",soft folk,Bon Iver; Iron & Wine; Fleet Foxes; Sufjan Stevens,"close miking, natural room, gentle compression",2000s-2020s,"Acoustic folk with warm fingerpicked guitar, intimate close-mic vocals, light hand percussion, upright bass foundation, natural room tone, gentle compression dynamics, heartfelt storytelling, organic textures, minimal production interference, human imperfections, emotional delivery"
Latin - Reggaeton,"sensual, club",85-100,"dem bow drums, plucks, sub bass",Spanish/Spanglish melodic,Bad Bunny; J Balvin; Maluma; Ozuna,"wide claps, saturated bass, short room on vox",2010s-2020s,"Reggaeton with dem bow rhythm pattern, sensual vocal melodies, club-ready sub bass, moody synth plucks, wide punchy claps, Spanish melodic flow, short vocal reverb, saturated bass distortion, urban atmosphere, danceable groove, tropical percussion"
K-Pop - Energetic,"glossy, high-impact",120-150,"hybrid EDM/trap, big synths, stabs","group leads, layered",BLACKPINK; BTS; TWICE; ITZY,"snappy edits, layered hooks, wide stereo effects",2010s-2020s,"K-pop with high-impact production, glossy synth layers, hybrid EDM-trap beats, layered vocal harmonies, group lead vocals, dynamic section changes, snappy precise edits, wide stereo effects, powerful drop sections, polished commercial sound"
Rock - Pop Punk,"rebellious, high-energy",150-180,"distorted guitars, fast drums, bass",nasal punk-pop,Blink-182; Paramore; Green Day; Sum 41,"tight editing, stacked gang vocals, bright cymbals",1990s-2000s,"Pop punk with fast power chord guitars, rapid drum patterns, distorted bass drive, nasal punk-pop vocals, rebellious energy, tight editing precision, stacked gang vocal shouts, bright cymbal crashes, catchy hook melodies, youthful angst attitude"
Soul - Neo Soul,"sultry, groovy",80-100,"Rhodes, jazz chords, laid-back drums",soulful warm,Erykah Badu; D'Angelo; Lauryn Hill; Maxwell,"swing feel, warm tape saturation, smooth bus glue",1990s-2000s,"Neo-soul with lush Rhodes piano, jazz chord progressions, laid-back drum shuffle, warm vocal expression, soulful melismatic runs, swing feel rhythm, tape saturation warmth, smooth bus compression glue, intimate atmosphere, groovy bass pocket"
